Skill Name,,Score/SP,Base Cost,Distance/Run Style,Why?
[Run Style] Corners ◯,◎,3.85,130,[Run Style],"Cheap and consistent, they are must-haves"
[Run Style] Straightaways ◯,◎,3.85,130,[Run Style],"Cheap and consistent, they are must-haves"
[Distance] Corners ◯,◎,5.00,100,[Distance],"Cheap and consistent, they are must-haves"
[Distance] Straightaways ◯,◎,5.00,100,[Distance],"Cheap and consistent, they are must-haves"
Uma Stan,◎,3.13,160,/,"Best speed skill on longer tracks for non-Front-Runners, can help to release PDM on some longer tracks"
Super Stan,◎,3.75,160+160,/,"Best speed skill on longer tracks for non-Front-Runners, can help to release PDM on some longer tracks"
Tail Held High,◎,5.00,100,/,"Cheap and consistent, though note the condition of requiring 3 skill activations before acquiring it"
Slipstream,◎,3.13,160,/,Consistent and facilitates overtaking when activated
Playtime's Over!,◎,3.13,160,/,Consistent and improves Uma's capacity to maintain her placement
Burning Spirit GUTS,◎,3.00,200+200,/,"Good random Late-Race accel but in the game's current state,
this skill's effect is likely 80% (when Total Guts ≤ 1200) or 90% (when 1200 < Total Guts ≤ 1600)"
Fast-Paced,◎,2.78,180,Front Runner,Consistent with easy conditions. Helps Front Runners maintain/regain their lead during the Mid-Race
Escape Artist,◎,3.33,180+180,Front Runner,Consistent with easy conditions. Helps Front Runners maintain/regain their lead during the Mid-Race
"1,500,000 CC",◎,4.17,120,Late Surger,Cheap and consistent
"15,000,000 CC",◎,5.00,120+120,Late Surger,Cheap and consistent
Mile Maven,◎,3.75,160+160,Mile,"Mostly consistent but activation occurs during Early-Race where Uma may not have hit top speed, making target speed boosts obsolete (doesn't actually increase speed
since Uma's Current Speed hasn't reached Target Speed). Additionally, the skill may pick a point prior to the 5 seconds needed after the race starts to activate, making it proc inconsistently too"
Unyielding Spirit,◎,4.17,120,Mile,Cheap and consistent
Big-Sisterly,◎,5.00,120+120,Mile,Cheap and consistent
Corner Recovery ◯,◎,2.94,170,/,Consistent and effective recovery
Swinging Maestro,◎,3.53,170+170,/,Consistent and effective recovery
Preferred Position,◎,2.78,180,Pace Chaser,Consistent and effective recovery
Race Planner,◎,3.33,180+180,Pace Chaser,Consistent and effective recovery
Hydrate,◎,2.78,180,Pace Chaser,Consistent and effective recovery
